Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Litwa;2010;41,08;52,55;44,92;21046,07;6,49;16,61;76,9;42,55;57,4;176,28;205,94;216,38;100,96
Litwa;2011;39,11;53,11;46,25;22823,92;6,46;16,4;77,14;43,06;50,25;162,7;197,74;216,26;104,87
Litwa;2012;38,9;53,63;47,42;24018,82;6,35;16,16;77,49;43,28;52,29;159,83;191,92;214,86;108,98
Litwa;2013;39,58;53,26;47,67;25126,51;6,1;16,19;77,71;43,38;52,31;159,52;184,42;208,68;115,75
Litwa;2014;38,55;54,08;49,09;26232,53;6,74;16,19;77,07;43,81;55,41;156,52;179,3;209,13;123,9
Litwa;2015;39,61;54,54;50,09;27018,86;6,63;16,47;76,91;44,22;55,42;157,41;171,81;203,63;135,49
Litwa;2016;39,42;55,86;52,14;28063,8;5,54;15,58;78,88;44,68;54,23;159;166,41;197,82;146,52
Litwa;2017;39,31;56,24;53,04;29667,79;5,41;15,6;79;45,21;50,7;154,1;158,46;193,45;154,57
Litwa;2018;39,24;56,35;53,25;31177,58;5,3;15,35;79,35;45,65;50,3;152,35;153,95;190,67;161,57
Lotwa;2000;37,14;30,18;28,21;24599,64;0,8;24,63;74,57;29,52;16,37;12,8;8,05;7,55;1,68
Lotwa;2001;38,44;29,45;27,08;24564,09;0,78;22,67;76,55;28,87;17,54;12,82;7,02;8,01;1,95
Lotwa;2002;40,31;30,89;28,32;25108,91;0,67;21,93;77,39;29,87;17,18;13,28;9,33;7,95;2,49
Lotwa;2003;39,27;30,21;27,22;25578,83;0,59;18,57;80,84;30,48;16,73;13,05;9,27;7,93;2,88
